Sample,MP2/(H29/29Ts),C3-Dibenzothiophenes/C3-Phenanthrenes/Anthracenes,C1-Naphthobenzothiophenes/C1-Fluoranthenes/Pyrenes,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,"2,6,10 Trimethyldodecane (1380)/C4-Decalins",27bb S/Hop,C26 Tricyclic Terpane-22S/H29,Tm/Bsnh,n-Tetracosane (C24)/Hop,H29/Hop,Bsnh/H29,29Ts/Hop,Benzo[e]pyrene/Hop,Pr/Phy,nC17/pristane,nC18/phytane,Type,Date,,,
170320-6,15.33025536,-3.557970121,8.867438821,22.50734258,10.83055385,-37.3215387,-24.33958535,19.71924834,-1.945588909,0.816219347,-8.036085846,-2.474832416,-8.953522117,0.863549876,-25.21070726,2.298878058,-31.31703933,3.085051676,-40.47696862,5.438162861,13.46253773,8.525905878,-1.190846466,-7.340976805,-46.24861644,-60.3322109,Group 3a,3/20/17,,,
170320-7,-47.33631045,-16.37372609,4.945214569,-26.87904963,-65.24075772,-28.94749326,-11.11224013,-17.36050081,132.0444836,93.05233492,-18.52487768,-10.45308178,90.88633354,6.669487265,-17.26490605,0.708248021,-24.21072219,18.0944662,-31.72985648,-7.637872099,-10.59123658,-10.67635225,53.1149085,-12.7426239,-15.32258492,-52.77644154,Group 2,3/20/17,,,
170320-8,-7.012351854,-6.121299921,8.741452917,8.459074551,-4.895732059,-35.88913619,-22.24372899,0.977773568,0.358149017,7.385361299,-9.436432076,-5.988312682,-8.233380484,-2.384131397,-23.22226827,-6.390651783,-33.54793397,16.39774978,-27.48168692,-3.184067637,4.223415255,-2.58792618,-5.025215282,-8.068121606,-20.91193219,-48.84114501,Group 3a,3/20/17,,,
170320-9,20.52657211,-2.479053118,10.15901578,35.19694599,37.97297567,-36.46781197,-19.45697727,28.48320641,-12.83900749,-4.898391755,-5.8050045,-0.034464357,-17.10495656,2.378720021,-20.75752217,-3.006012404,-27.38329661,-5.294872783,-40.26670743,3.440244398,24.12040098,4.726571743,-15.6722635,-3.322252867,-42.47171007,-80.77412378,Group 3a,3/20/17,,,
170321-1,-37.06423363,-16.16923648,5.146210614,-14.91545007,-47.56412522,-28.05663737,-11.03758636,-19.86493152,81.37742929,60.97185842,-12.45617785,-9.654498561,60.31985558,-0.144184668,-27.45552826,-2.413725768,-31.73633466,19.9713649,-23.72355556,-6.876003564,-14.01011889,-10.36020329,21.86493692,-13.07356211,62.83408016,11.66490991,Group 2,3/21/17,,,
170321-2,7.694920778,-5.276218126,9.14471681,11.75377229,20.54512146,-35.36731894,-20.46566824,9.97506158,-5.354317286,4.050782277,-1.958797148,-3.935217701,-6.311128892,8.018311129,-25.69952617,-1.624807146,-30.50287154,4.72486022,-4.610526638,1.511019384,8.259836398,4.005148746,-14.77775904,-3.443084947,57.20076766,-14.84767872,Group 3a,3/21/17,,,
170321-3,7.406975165,-4.593618811,9.596228604,10.18003957,27.8423446,-37.96161725,-23.72542645,8.197139814,-3.947974274,1.552571536,-1.20054357,-4.351780486,-4.183643915,-4.669460243,-19.10264483,-3.20213465,-26.06732027,11.02477341,-1.448841646,-2.625194041,11.03388015,2.054317707,-21.6530672,-7.719278151,55.58589802,-12.78912985,Group 3a,3/21/17,,,
170321-4,-24.84365495,-10.68017158,7.701919419,-9.37941856,-31.89698979,-32.25882757,-13.79730671,-5.994676127,43.18719209,30.21569257,-8.535503603,-8.751764707,32.23161035,-1.250356858,-25.25698776,-0.329561768,-33.7423105,11.24192338,-8.353427879,-4.140200137,-2.005370845,-5.741619479,9.689461761,-13.26637766,91.36580683,6.034746384,Group 3a,3/21/17,,,
170321-5,-27.70482698,-13.88898283,11.29863429,-10.55014667,-44.86010187,-35.37897017,-20.88559183,-15.37024859,64.63222644,46.28373648,-13.32758179,-8.704118533,44.0702574,6.967291447,-20.76227349,-2.444884429,-27.13907003,28.05111108,-19.12631606,-3.069682084,-12.75314724,0.22930965,23.92452366,-12.53827407,62.43467173,6.1110778,Group 2,3/21/17,,,
170321-6,1.849472691,-5.482325172,7.01804735,12.38621032,16.49131293,-37.10450802,-22.97727872,4.165763392,5.603372201,4.852921713,-4.509342726,-1.90479853,1.816282494,0.414933831,-24.19712688,1.077944969,-35.30357734,11.53094491,5.608461259,0.435276404,3.639441396,-1.525760898,-12.84788955,-11.27033971,71.99423434,-18.29456763,Group 3a,3/21/17,,,
