Sample,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,Type
170321-5,-2.546303186,-33.46821984,-35.30989545,-18.40612657,-14.28414856,45.4852037,32.47421826,-10.38819649,-6.871637147,30.597075,11.87569861,Group 2
170321-6,22.44236584,40.55837398,-37.03727776,-20.56336744,5.502579781,-6.678489091,-5.045433138,-1.270898016,0.064158096,-7.705386799,5.022673018,Group 3a
170321-7,9.208281927,-8.619436524,-32.42326236,-12.53764569,-5.447764487,13.97009426,4.130983635,-8.993314987,-5.106225816,3.899536061,5.030642289,Group 3a
170321-8,2.649811461,16.36860775,-34.31110354,-19.02209472,-17.56121815,-3.078513654,3.026067606,-4.570047792,-3.600513119,-7.348132442,-1.737442059,Group 3a
170321-9,23.4773955,39.07783343,-37.68528729,-20.50416002,13.20022445,-17.64598856,-11.85155241,-0.845952096,-1.043680851,-18.20163693,8.176548162,Group 3a
170322-3,41.04510412,71.40707033,-33.69143262,-13.75451323,28.31353928,-23.99327335,-15.96756497,0.988292976,0.650776669,-23.10953871,5.900613915,Group 3a
170322-4,-24.59970814,-63.49275795,-28.63960319,-10.00470945,-19.53922838,127.063022,56.7306744,-16.98118498,-10.84496882,88.8305897,12.55212092,Group 2
170322-5,47.23878836,59.49886872,-36.69031255,-19.0997109,23.45034392,-18.01863115,-14.47109695,-0.094785067,-1.859437856,-17.9548847,7.572728872,Group 3a
170322-6,17.27869585,27.77016889,-32.66701862,-17.28027212,-7.02924316,-8.727651715,-5.595655529,-3.37717339,-4.319600431,-11.65776788,3.100484901,Group 3a
170322-7,24.64045789,59.46074631,-33.90739996,-16.63715371,13.14106573,-9.932465497,-7.745213205,1.425907454,-1.399222438,-8.490415741,7.974554947,Group 3a
170328-01,24.14828294,-47.59411474,0.016907463,17.12350056,-7.981739586,96.58063992,58.05890045,-21.76407186,-8.787636498,54.06230429,14.07436021,W
170328-02,65.25191291,82.48691186,-14.67818369,2.240104321,12.89457103,-37.85787247,-36.55293143,7.792468744,10.00950598,-32.89978029,10.36174749,Group 4
170328-03,25.80185335,38.88415546,-3.120681558,12.6082151,-2.335279866,-31.2022379,-21.91974547,4.916546748,4.480579684,-27.69510417,7.274136915,Group 4
170328-04,38.64857617,67.37140905,-14.39850738,5.59127892,7.586595006,-31.15705944,-28.51487376,5.603594245,6.113277014,-27.17382205,11.13906929,Group 4
170328-05,2388.42197,-26.72644316,-39.91176362,31.84326621,-7.851227515,57.21427136,-44.61074746,-55.63445109,5.567624955,-30.13056488,16.62859635,W
170407-1,13.49190441,22.94199487,-18.38710739,2.010790808,-10.5558212,-20.99371261,-23.1045663,-2.386481089,-4.589739069,-22.74599043,4.839809803,Group 3
170407-2,25.61167789,37.37072815,-20.14214237,-1.558181763,4.099992391,-29.1648921,-31.62292273,-1.190236985,-5.120006497,-29.88711737,18.01847082,Group 3
170408-2,6.996496033,19.69549587,-18.12818324,2.144276003,-0.250687242,-23.10292243,-26.84130893,-1.253536,-3.135588333,-23.93571388,13.24952097,Group 3
170408-3,26.15070722,46.57375438,-20.61330223,-8.229891297,2.588573788,-36.92033167,-34.34547725,7.416885229,-3.483544224,-32.12476256,14.81042354,Group 3
170408-4,13.16424178,30.10254053,-23.21937184,-8.107487306,-5.054408989,-31.56422533,-30.5545309,4.712683923,-3.17375022,-28.21530084,13.2700877,Group 3
170408-5,-0.32701822,21.38591119,-21.23182074,-11.1990914,-14.6001517,-24.3384342,-23.22065476,1.632899101,-2.136358903,-22.97015137,6.258924263,Group 3
SLICK OIL #1,17.52836857,31.71197978,-18.17887786,-25.02694966,23.70125925,-25.01098146,-29.48903836,-3.206762761,1.163712371,-27.29034394,-8.280076443,Group 3
SLICK OIL #2,-1.951214669,-5.293427035,-13.79113217,-20.58426632,7.108432362,-12.22267562,-21.31209362,-8.52263849,-3.593202004,-19.56494298,-6.909155635,W
SLICK OIL #3,4.415249671,-10.85401799,-16.21888574,-19.53823423,3.139069384,-3.023993876,-15.6772802,-6.44038984,-0.984211909,-9.112929919,-3.728338666,Group 3
SLICK OIL #4,6.882009235,40.51391605,-12.5495447,-14.85049693,18.73867947,-25.48883086,-27.21223559,-2.99022308,0.490375117,-27.59204375,-5.846522805,Group 3
SLICK OIL #5,12.76107548,38.27707472,-18.23763754,-21.02330899,20.12508213,-22.26323913,-87.42545074,-6.021778609,501.2646632,-26.81820331,-5.091993669,Group U
SLICK OIL #6,17.05446386,41.34633229,-18.23065109,-23.54123513,7.652846457,-34.67571521,-36.01075656,-4.888998167,0.392069316,-37.76211505,-6.816525438,Group 3
SLICK OIL #7,96.96664592,-8.115591025,-17.12863831,-16.31165704,0.232245638,10.96881989,-25.5139989,-23.69993035,-4.892476537,-15.18448419,-4.989337659,W
